model,accuracy,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp
Random Forest baseline,0.9473684210526315,1.0,0.8571428571428571,0.9230769230769231,0.8823529411764706,1.0,0.9966931216931219,0.9946372463207034,72,0,6,36
Random Forest otimizada por GA,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9722222222222222,0.9871031746031745,0.9765392242011927,70,2,2,40
