geracao,fitness,recall,specificity,f2
1,0.9571568948575173,0.9534883720930233,0.971830985915493,0.9534883720930233
2,0.9657428441617447,0.9767441860465116,0.9577464788732394,0.967741935483871
3,0.9657428441617447,0.9767441860465116,0.9577464788732394,0.967741935483871
4,0.9657428441617447,0.9767441860465116,0.9577464788732394,0.967741935483871
5,0.9657428441617447,0.9767441860465116,0.9577464788732394,0.967741935483871
6,0.9657428441617447,0.9767441860465116,0.9577464788732394,0.967741935483871
7,0.9657428441617447,0.9767441860465116,0.9577464788732394,0.967741935483871
8,0.9657428441617447,0.9767441860465116,0.9577464788732394,0.967741935483871
9,0.9657428441617447,0.9767441860465116,0.9577464788732394,0.967741935483871
10,0.9721439749608765,0.9767441860465116,0.971830985915493,0.9722222222222222
